Frame,ID,Type,X,Y,Team
71,1,ball,984,603,-1
72,37,player,1015,609,2
72,22,referee,999,669,-1
72,27,referee,1784,1022,-1
72,44,referee,932,403,-1
72,1,ball,1004,607,-1
73,7,player,1034,607,2
73,27,referee,1784,1020,-1
73,22,referee,1000,671,-1
73,44,referee,932,402,-1
73,1,ball,1024,611,-1
74,7,player,1031,610,2
74,22,referee,1001,670,-1
74,27,referee,1785,1019,-1
74,44,referee,931,402,-1
74,1,ball,1044,614,-1
75,7,player,1030,612,2
75,22,referee,1002,671,-1
75,27,referee,1785,1020,-1
75,44,referee,932,400,-1
75,1,ball,1064,618,-1
76,37,player,1032,610,2
76,22,referee,1003,672,-1
76,27,referee,1785,1021,-1
76,44,referee,933,401,-1
76,1,ball,1069,619,-1
77,37,player,1039,610,2
77,27,referee,1785,1022,-1
77,22,referee,1005,673,-1
77,44,referee,933,401,-1
77,1,ball,1074,621,-1
78,37,player,1043,612,2
78,27,referee,1786,1028,-1
78,22,referee,1006,673,-1
78,44,referee,933,400,-1
78,1,ball,1078,617,-1
79,37,player,1052,614,2
79,27,referee,1787,1030,-1
79,22,referee,1008,674,-1
79,44,referee,933,398,-1
79,1,ball,1087,621,-1
80,37,player,1057,615,2
80,22,referee,1008,676,-1
80,27,referee,1790,1033,-1
80,44,referee,933,398,-1
80,1,ball,1093,623,-1
81,22,referee,1010,676,-1
81,27,referee,1790,1035,-1
81,44,referee,934,396,-1
81,1,ball,451,518,-1
82,30,player,659,536,2
82,22,referee,1011,678,-1
82,27,referee,1791,1039,-1
82,44,referee,934,396,-1
82,1,ball,672,554,-1
83,3,player,925,600,2
83,22,referee,1011,679,-1
83,27,referee,1792,1041,-1
83,44,referee,935,394,-1
83,1,ball,894,591,-1
84,37,player,1078,619,2
84,22,referee,1012,680,-1
84,44,referee,935,394,-1
84,27,referee,1795,1039,-1
84,1,ball,1115,627,-1
85,37,player,1085,620,2
85,22,referee,1012,681,-1
85,27,referee,1791,1045,-1
85,44,referee,936,394,-1
85,1,ball,1120,629,-1
86,37,player,1090,624,2
86,22,referee,1012,682,-1
86,27,referee,1795,1047,-1
86,44,referee,935,393,-1
86,1,ball,1125,629,-1
87,37,player,1100,624,2
87,22,referee,1012,682,-1
87,27,referee,1796,1049,-1
87,44,referee,936,391,-1
87,1,ball,1130,629,-1
88,37,player,1106,624,2
88,22,referee,1011,684,-1
88,27,referee,1796,1051,-1
88,44,referee,937,391,-1
88,1,ball,1136,628,-1
89,37,player,1112,624,2
89,22,referee,1011,684,-1
89,27,referee,1792,1051,-1
89,44,referee,937,389,-1
89,1,ball,1141,628,-1
90,37,player,1117,625,2
90,27,referee,1785,1052,-1
90,22,referee,1009,684,-1
90,44,referee,937,390,-1
90,1,ball,1146,628,-1
91,37,player,1122,628,2
91,27,referee,1782,1052,-1
91,44,referee,937,390,-1
91,22,referee,1007,685,-1
91,1,ball,1151,628,-1
92,37,player,1131,637,2
92,27,referee,1778,1050,-1
92,22,referee,1006,684,-1
92,44,referee,937,390,-1
92,1,ball,1156,628,-1
93,37,player,1137,640,2
93,27,referee,1774,1050,-1
93,22,referee,1006,684,-1
93,44,referee,937,390,-1
93,1,ball,1161,628,-1
94,37,player,1137,635,2
94,22,referee,1005,683,-1
94,27,referee,1770,1050,-1
94,44,referee,938,390,-1
94,1,ball,1166,628,-1
95,37,player,1137,631,2
95,22,referee,1004,682,-1
95,27,referee,1765,1051,-1
95,44,referee,939,390,-1
95,1,ball,1171,628,-1
96,5,player,1208,612,2
96,22,referee,1003,680,-1
96,27,referee,1761,1050,-1
96,44,referee,941,390,-1
96,1,ball,1176,628,-1
97,5,player,1213,612,2
97,22,referee,1003,680,-1
97,27,referee,1758,1048,-1
97,44,referee,941,390,-1
97,1,ball,1182,628,-1
98,5,player,1217,612,2
98,22,referee,1002,680,-1
98,27,referee,1755,1045,-1
98,44,referee,942,389,-1
98,1,ball,1187,628,-1
99,5,player,1218,613,2
99,22,referee,1001,680,-1
99,27,referee,1750,1045,-1
99,44,referee,942,389,-1
99,1,ball,1192,628,-1
100,5,player,1218,613,2
100,22,referee,1001,679,-1
100,27,referee,1747,1045,-1
100,44,referee,943,389,-1
100,1,ball,1197,628,-1
101,5,player,1221,612,2
101,22,referee,1001,677,-1
101,27,referee,1743,1046,-1
101,44,referee,944,390,-1
101,1,ball,1202,627,-1
102,5,player,1224,612,2
102,22,referee,998,677,-1
102,27,referee,1739,1044,-1
102,44,referee,946,389,-1
102,1,ball,1207,627,-1
103,5,player,1227,612,2
103,22,referee,997,676,-1
103,44,referee,947,388,-1
103,27,referee,1736,1044,-1
103,1,ball,1212,627,-1
104,5,player,1231,612,2
104,22,referee,997,675,-1
104,27,referee,1730,1043,-1
104,44,referee,948,389,-1
104,1,ball,1217,627,-1
105,5,player,1234,612,2
105,22,referee,995,674,-1
105,44,referee,949,389,-1
105,27,referee,1724,1043,-1
105,15,referee,1114,480,-1
105,1,ball,1222,627,-1
106,5,player,1237,610,2
106,22,referee,994,674,-1
106,27,referee,1722,1042,-1
106,44,referee,950,389,-1
106,15,referee,1114,481,-1
106,1,ball,1227,627,-1
107,5,player,1240,610,2
107,22,referee,993,674,-1
107,27,referee,1718,1043,-1
107,44,referee,951,390,-1
107,1,ball,1233,627,-1
108,5,player,1244,610,2
108,27,referee,1718,1043,-1
108,22,referee,991,673,-1
108,44,referee,953,389,-1
108,1,ball,1238,627,-1
109,5,player,1248,609,2
109,27,referee,1715,1041,-1
109,22,referee,990,673,-1
109,44,referee,954,390,-1
109,1,ball,1243,627,-1
110,5,player,1253,608,2
110,27,referee,1712,1040,-1
110,22,referee,989,674,-1
110,44,referee,955,389,-1
110,1,ball,1248,627,-1
111,5,player,1255,608,2
111,22,referee,988,674,-1
111,27,referee,1709,1039,-1
111,44,referee,956,390,-1
111,1,ball,1253,627,-1
112,5,player,1260,609,2
112,22,referee,987,671,-1
112,27,referee,1705,1039,-1
